"design","treatment","outcome","horizon","stat_obs","p_perm","n_perm"
"packaged-results/dass-R/poverty_outcomes/design/design_fed_funds_wealth_share_gap_top1_bottom50_h4_shock_oosexpanding.csv","fed_funds","wealth_share_gap_top1_bottom50",4,-0.0235777782921098,0.787375415282392,300
"packaged-results/dass-R/poverty_outcomes/design/design_fed_funds_wealth_share_gap_top1_bottom50_h8_shock_oosexpanding.csv","fed_funds","wealth_share_gap_top1_bottom50",8,-0.125521255357629,0.205980066445183,300
"packaged-results/dass-R/poverty_outcomes/design/design_fed_funds_wealth_share_gap_top10_bottom50_h2_shock_oosexpanding.csv","fed_funds","wealth_share_gap_top10_bottom50",2,-0.183342030255643,0.0498338870431894,300
"packaged-results/dass-R/poverty_outcomes/design/design_fed_funds_wealth_share_gap_top10_bottom50_h4_shock_oosexpanding.csv","fed_funds","wealth_share_gap_top10_bottom50",4,-0.299128249927836,0.00664451827242525,300
"packaged-results/dass-R/poverty_outcomes/design/design_fed_funds_wealth_share_gap_top10_bottom50_h8_shock_oosexpanding.csv","fed_funds","wealth_share_gap_top10_bottom50",8,-0.462392119385032,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top1_bottom50_h2.csv","home_equity","wealth_share_gap_top1_bottom50",2,0.685315390955519,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top1_bottom50_h4.csv","home_equity","wealth_share_gap_top1_bottom50",4,0.689016757449719,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top1_bottom50_h8.csv","home_equity","wealth_share_gap_top1_bottom50",8,0.709415727864233,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top10_bottom50_h2.csv","home_equity","wealth_share_gap_top10_bottom50",2,0.346982020668164,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top10_bottom50_h4.csv","home_equity","wealth_share_gap_top10_bottom50",4,0.368601854106445,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_home_equity_wealth_share_gap_top10_bottom50_h8.csv","home_equity","wealth_share_gap_top10_bottom50",8,0.422712444396965,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_gini_households_q_h2.csv","household_networth","gini_households_q",2,0.84599466555528,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_gini_households_q_h4.csv","household_networth","gini_households_q",4,0.845415129768274,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_gini_households_q_h8.csv","household_networth","gini_households_q",8,0.859423319643999,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top1_bottom50_h2.csv","household_networth","wealth_share_gap_top1_bottom50",2,0.732573646577494,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top1_bottom50_h4.csv","household_networth","wealth_share_gap_top1_bottom50",4,0.727335167525651,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top1_bottom50_h8.csv","household_networth","wealth_share_gap_top1_bottom50",8,0.723959830255781,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top10_bottom50_h2.csv","household_networth","wealth_share_gap_top10_bottom50",2,0.37178313617688,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top10_bottom50_h4.csv","household_networth","wealth_share_gap_top10_bottom50",4,0.376852290901024,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_household_networth_wealth_share_gap_top10_bottom50_h8.csv","household_networth","wealth_share_gap_top10_bottom50",8,0.391347658872017,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_all_q_h2.csv","revolving_credit","poverty_all_q",2,-0.279445877952442,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_all_q_h4.csv","revolving_credit","poverty_all_q",4,-0.239559148181302,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_all_q_h8.csv","revolving_credit","poverty_all_q",8,-0.127331770292919,0.152823920265781,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_child_q_h2.csv","revolving_credit","poverty_child_q",2,-0.57687990119685,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_child_q_h4.csv","revolving_credit","poverty_child_q",4,-0.5380918150324,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_revolving_credit_poverty_child_q_h8.csv","revolving_credit","poverty_child_q",8,-0.430576203969279,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_all_q_h2.csv","snap_persons","poverty_all_q",2,0.286113676700098,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_all_q_h4.csv","snap_persons","poverty_all_q",4,0.238400915000083,0.00664451827242525,300
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_all_q_h8.csv","snap_persons","poverty_all_q",8,0.118253944152253,0.192691029900332,300
