"group","run_id","estimator","p","rank","rw_stepdown_p"
"other","20260403T160932_tmle","tmle",0.00345729594101127,85,0.798635362373603
"other","20260403T160937_lp","lp",0.00354084792375963,86,0.814395022464715
"other","20260403T160912_tmle","tmle",0.00401449597011305,87,0.919319577155888
"other","20260403T160920_lp","lp",0.00447280819456984,88,1
"other","20260403T160950_tmle","tmle",0.00458347757793973,89,1
"other","20260403T160928_dml","dml",0.00523711426480505,90,1
"other","20260403T160928_lp","lp",0.00584494067640106,91,1
"other","20260403T160937_dml","dml",0.00609946753760786,92,1
"other","20260403T160956_dml","dml",0.00625428181216533,93,1
"other","20260403T160950_tmle","tmle",0.00636199971308065,94,1
"other","20260403T160941_dml","dml",0.00679211206099804,95,1
"other","20260403T160948_tmle","tmle",0.00704120113415416,96,1
"other","20260403T160954_lp","lp",0.00786793602162387,97,1
"other","20260403T160952_tmle","tmle",0.00801045167893594,98,1
"other","20260403T160918_dml","dml",0.0097476598133624,99,1
"other","20260403T160955_lp","lp",0.0111015335577024,100,1
"other","20260403T160949_dml","dml",0.0122916964641533,101,1
"other","20260403T160948_dml","dml",0.0129153865259296,102,1
"other","20260403T160912_dml","dml",0.0145027135493007,103,1
"other","20260403T160939_dml","dml",0.0163735368330292,104,1
"other","20260403T160930_dml","dml",0.0164081493309747,105,1
"other","20260403T160924_tmle","tmle",0.0168557374341925,106,1
"other","20260403T160938_tmle","tmle",0.0168557374341925,107,1
"other","20260403T160944_dml","dml",0.0168589481756453,108,1
"other","20260403T160953_tmle","tmle",0.0177221634462702,109,1
"other","20260403T160940_dml","dml",0.0177709392858882,110,1
"other","20260403T160950_lp","lp",0.019361375490351,111,1
"other","20260403T160948_dml","dml",0.0197040308109877,112,1
"other","20260403T160945_dml","dml",0.0197714631888013,113,1
"other","20260403T160953_dml","dml",0.0201662094701731,114,1
"other","20260403T160932_dml","dml",0.021451006799784,115,1
"other","20260403T160929_dml","dml",0.0215602796709374,116,1
"other","20260403T160931_lp","lp",0.0234388617039667,117,1
"other","20260403T160944_lp","lp",0.0234927973186739,118,1
"other","20260403T160939_lp","lp",0.0247870413687385,119,1
"other","20260403T160924_tmle","tmle",0.0266460555393168,120,1
"other","20260403T160938_tmle","tmle",0.0266460555393168,121,1
"other","20260403T160952_tmle","tmle",0.0266460555393168,122,1
"other","20260403T160922_dml","dml",0.027142878032507,123,1
"other","20260403T160946_tmle","tmle",0.0274004683958627,124,1
"other","20260403T160952_lp","lp",0.0281558587689297,125,1
"other","20260403T160947_tmle","tmle",0.0303123188424194,126,1
"other","20260403T160938_lp","lp",0.032175772678471,127,1
"other","20260403T160955_lp","lp",0.0330166530069097,128,1
"other","20260403T160957_lp","lp",0.0332052177588663,129,1
"other","20260403T160954_dml","dml",0.0342767309369396,130,1
"other","20260403T160921_dml","dml",0.0359053410390033,131,1
"other","20260403T160953_lp","lp",0.0374725195652764,132,1
"other","20260403T160930_dml","dml",0.0382482146312011,133,1
"other","20260403T160955_dml","dml",0.0396435226422055,134,1
"other","20260403T160945_tmle","tmle",0.042107866769211,135,1
"other","20260403T160917_lp","lp",0.0431383311559404,136,1
"other","20260403T160929_dml","dml",0.0448804853369873,137,1
"other","20260403T160949_dml","dml",0.0458903247250136,138,1
"other","20260403T160915_dml","dml",0.0464833161967587,139,1
"other","20260403T160928_tmle","tmle",0.0466357897344039,140,1
"other","20260403T160954_tmle","tmle",0.0466357897344039,141,1
"other","20260403T160956_tmle","tmle",0.0466357897344039,142,1
"other","20260403T160926_tmle","tmle",0.0471408655692423,143,1
"other","20260403T160939_tmle","tmle",0.0471408655692423,144,1
"other","20260403T160941_lp","lp",0.0472899162293451,145,1
"other","20260403T160920_dml","dml",0.0495078951702924,146,1
"other","20260403T160916_lp","lp",0.053981370333412,147,1
"other","20260403T160950_dml","dml",0.054129861895216,148,1
"other","20260403T160946_lp","lp",0.0551153119575091,149,1
"other","20260403T160951_lp","lp",0.0567381107385468,150,1
"other","20260403T160924_dml","dml",0.0586086288076069,151,1
"other","20260403T160949_tmle","tmle",0.0595737248625241,152,1
"other","20260403T160951_dml","dml",0.0597214173255108,153,1
"other","20260403T160916_lp","lp",0.062303394292125,154,1
"other","20260403T160944_dml","dml",0.0629921212685604,155,1
"other","20260403T160957_dml","dml",0.0637941114555359,156,1
"other","20260403T160951_dml","dml",0.0647213229401145,157,1
"other","20260403T160931_lp","lp",0.0679537967639696,158,1
"other","20260403T160944_tmle","tmle",0.0754975885863427,159,1
"other","20260403T160927_lp","lp",0.0773280486708248,160,1
"other","20260403T160958_tmle","tmle",0.0797207182606853,161,1
"other","20260403T160932_lp","lp",0.0812656515847795,162,1
"other","20260403T160942_tmle","tmle",0.0851080829025393,163,1
"other","20260403T160950_dml","dml",0.0856984248305146,164,1
"other","20260403T160935_dml","dml",0.0870444687092426,165,1
"other","20260403T160947_tmle","tmle",0.0882405999402029,166,1
"other","20260403T160936_dml","dml",0.0885021231117498,167,1
"other","20260403T160948_lp","lp",0.0894225322284845,168,1
"other","20260403T160943_lp","lp",0.0896852303130784,169,1
"other","20260403T160946_lp","lp",0.0912954581117821,170,1
"other","20260403T160941_lp","lp",0.0916184672731517,171,1
"other","20260403T160923_dml","dml",0.0944525729089514,172,1
"other","20260403T160932_dml","dml",0.0944552045982846,173,1
"other","20260403T160919_lp","lp",0.103823970889677,174,1
"other","20260403T160913_lp","lp",0.106136383650655,175,1
"other","20260403T160913_lp","lp",0.109277860446265,176,1
"other","20260403T160934_dml","dml",0.111155077540001,177,1
"other","20260403T160938_dml","dml",0.111266081604895,178,1
"other","20260403T160921_dml","dml",0.119645513655939,179,1
"other","20260403T160946_tmle","tmle",0.121838374363307,180,1
"other","20260403T160911_lp","lp",0.123537329940022,181,1
"other","20260403T160944_lp","lp",0.126500146878647,182,1
"other","20260403T160920_dml","dml",0.128510396267592,183,1
"other","20260403T160913_dml","dml",0.129437185311822,184,1
"other","20260403T160922_lp","lp",0.131809197702901,185,1
"other","20260403T160933_dml","dml",0.132248199987491,186,1
"other","20260403T160942_tmle","tmle",0.134464320160618,187,1
"other","20260403T160956_tmle","tmle",0.135282592991904,188,1
"other","20260403T160938_lp","lp",0.137203291993399,189,1
"other","20260403T160918_lp","lp",0.137949155051849,190,1
"other","20260403T160915_dml","dml",0.138546142821783,191,1
"other","20260403T160928_dml","dml",0.140380456948195,192,1
"other","20260403T160919_tmle","tmle",0.150162132002475,193,1
"other","20260403T160947_tmle","tmle",0.154797166489138,194,1
"other","20260403T160944_tmle","tmle",0.161169313027051,195,1
"other","20260403T160949_tmle","tmle",0.161169313027051,196,1
"other","20260403T160944_lp","lp",0.163914260451417,197,1
"other","20260403T160927_lp","lp",0.169456474533996,198,1
"other","20260403T160942_dml","dml",0.173431328714769,199,1
"other","20260403T160929_dml","dml",0.179227432103671,200,1
"other","20260403T160917_tmle","tmle",0.198329787483298,201,1
"other","20260403T160922_dml","dml",0.198936915422602,202,1
"other","20260403T160956_dml","dml",0.199505823965625,203,1
"other","20260403T160947_dml","dml",0.200346160641854,204,1
"other","20260403T160934_dml","dml",0.206158053083528,205,1
"other","20260403T160919_lp","lp",0.206200020232954,206,1
"other","20260403T160917_lp","lp",0.207751509032628,207,1
"other","20260403T160930_lp","lp",0.207834611396355,208,1
"other","20260403T160935_dml","dml",0.208930940792416,209,1
"other","20260403T160932_dml","dml",0.217997314190729,210,1
"other","20260403T160924_tmle","tmle",0.224209081318646,211,1
"other","20260403T160937_tmle","tmle",0.224209081318646,212,1
"other","20260403T160951_tmle","tmle",0.224209081318646,213,1
"other","20260403T160957_dml","dml",0.23226215676014,214,1
"other","20260403T160950_lp","lp",0.232983386077612,215,1
"other","20260403T160943_lp","lp",0.235825230087806,216,1
"other","20260403T160921_lp","lp",0.236408431071306,217,1
"other","20260403T160924_lp","lp",0.246006346276662,218,1
"other","20260403T160933_dml","dml",0.247956125059583,219,1
"other","20260403T160911_lp","lp",0.258812339756542,220,1
"other","20260403T160936_lp","lp",0.260308441099188,221,1
"other","20260403T160932_lp","lp",0.263702903065547,222,1
"other","20260403T160914_tmle","tmle",0.266623899287109,223,1
"other","20260403T160936_dml","dml",0.278723240175506,224,1
"other","20260403T160929_lp","lp",0.286812439301806,225,1
"other","20260403T160911_lp","lp",0.289372222235413,226,1
"other","20260403T160949_lp","lp",0.289530273178712,227,1
"other","20260403T160917_dml","dml",0.29778523283081,228,1
"other","20260403T160932_tmle","tmle",0.30769322036998,229,1
"other","20260403T160912_tmle","tmle",0.309524175522409,230,1
"other","20260403T160916_lp","lp",0.312082726128143,231,1
"other","20260403T160943_dml","dml",0.326276954258863,232,1
"other","20260403T160931_lp","lp",0.33086337517656,233,1
"other","20260403T160925_dml","dml",0.333358402263537,234,1
"other","20260403T160930_dml","dml",0.345125688642368,235,1
"other","20260403T160933_dml","dml",0.348064689254887,236,1
"other","20260403T160944_dml","dml",0.348564099157974,237,1
"other","20260403T160956_dml","dml",0.355313588544368,238,1
"other","20260403T160924_dml","dml",0.360929114276733,239,1
"other","20260403T160925_dml","dml",0.379226437602125,240,1
"other","20260403T160953_dml","dml",0.382219805542259,241,1
"other","20260403T160934_lp","lp",0.382462204375894,242,1
"other","20260403T160948_dml","dml",0.397884718685023,243,1
"other","20260403T160935_lp","lp",0.423324069433042,244,1
"other","20260403T160928_tmle","tmle",0.431546219336143,245,1
"other","20260403T160955_tmle","tmle",0.431546219336143,246,1
"other","20260403T160945_dml","dml",0.437986903325412,247,1
"other","20260403T160913_lp","lp",0.438851310302695,248,1
"other","20260403T160945_lp","lp",0.4410907905035,249,1
"other","20260403T160937_dml","dml",0.442396285073711,250,1
"other","20260403T160914_lp","lp",0.44933931858668,251,1
"other","20260403T160927_tmle","tmle",0.450740166352874,252,1
"other","20260403T160952_tmle","tmle",0.450740166352874,253,1
"other","20260403T160955_tmle","tmle",0.450740166352874,254,1
"other","20260403T160914_lp","lp",0.47275709601599,255,1
"other","20260403T160943_tmle","tmle",0.486226881931222,256,1
"other","20260403T160921_dml","dml",0.488871916807061,257,1
"other","20260403T160954_lp","lp",0.489939451212849,258,1
"other","20260403T160949_lp","lp",0.506789986230698,259,1
"other","20260403T160939_dml","dml",0.512637539950206,260,1
"other","20260403T160932_lp","lp",0.521516669832903,261,1
"other","20260403T160952_dml","dml",0.521689643959334,262,1
"other","20260403T160928_dml","dml",0.538775655488876,263,1
"other","20260403T160945_lp","lp",0.541541798758511,264,1
"other","20260403T160941_lp","lp",0.542691002019041,265,1
"other","20260403T160951_tmle","tmle",0.551861299245066,266,1
"other","20260403T160925_lp","lp",0.553415656927768,267,1
"other","20260403T160915_dml","dml",0.574076778218309,268,1
"other","20260403T160943_tmle","tmle",0.580732830271598,269,1
"other","20260403T160948_tmle","tmle",0.580732830271598,270,1
"other","20260403T160932_tmle","tmle",0.592426622897046,271,1
"other","20260403T160923_lp","lp",0.597048734311903,272,1
"other","20260403T160917_dml","dml",0.598621545397455,273,1
"other","20260403T160919_lp","lp",0.602273561545301,274,1
"other","20260403T160952_lp","lp",0.605418842668262,275,1
"other","20260403T160956_lp","lp",0.625598958905775,276,1
"other","20260403T160942_dml","dml",0.628558284925173,277,1
"other","20260403T160949_dml","dml",0.642960308461247,278,1
"other","20260403T160914_tmle","tmle",0.667172294742033,279,1
"other","20260403T160912_tmle","tmle",0.672180857579044,280,1
"other","20260403T160941_dml","dml",0.685357233325625,281,1
"other","20260403T160920_tmle","tmle",0.68682426651756,282,1
"other","20260403T160915_tmle","tmle",0.688175732793883,283,1
"other","20260403T160948_lp","lp",0.707856750956607,284,1
"other","20260403T160913_dml","dml",0.712091147743104,285,1
"other","20260403T160950_tmle","tmle",0.723341404787657,286,1
"other","20260403T160955_lp","lp",0.733964076534577,287,1
"other","20260403T160946_lp","lp",0.735316076225822,288,1
