"run_id","estimator","estimand","treatment","outcome","family","horizon","treatment_mode","binary","estimate","se","ci_low","ci_high","p","n","notes","design","run_stage_id","pipeline_run_id","run_timestamp_utc","run_config_id","run_config_path","q_bh"
"20260403T181518_lp","lp","ate","transfer_composite","poverty_all_q","other",8,"shock",FALSE,-6.61163228261251e-08,6.72644869816858e-07,-1.38450026766717e-06,1.25226762201492e-06,0.921993065865618,108,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h8_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.931698256032625
"20260403T181518_lp","lp","ate","transfer_composite","poverty_all_q","other",2,"shock",FALSE,-6.51683716660346e-07,8.97619819288083e-07,-2.41101856246499e-06,1.1076511291443e-06,0.47021732738744,112,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h2_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.635786808861891
"20260403T181518_lp","lp","ate","transfer_composite","poverty_child_q","other",2,"shock",FALSE,-1.20967001486407e-06,1.456284142768e-06,-4.06398693468935e-06,1.64464690496121e-06,0.408953029569068,112,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_child_q_h2_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.606180230742945
"20260403T181518_lp","lp","ate","transfer_composite","poverty_all_q","other",4,"shock",FALSE,2.6942381730973e-07,8.57332300199529e-07,-1.41094749108135e-06,1.94979512570081e-06,0.754259549477914,111,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h4_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.841964148254416
"20260403T181518_dml","dml","ate","transfer_composite","poverty_child_q","other",2,"shock",FALSE,4.27123955410542e-06,1.34166096133682e-06,1.64158406988526e-06,6.90089503832558e-06,0.00189222036559276,112,"crossfit residual-on-residual","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_child_q_h2_shock_oosexpanding.csv","dml","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.0165139231906277
"20260403T181518_dml","dml","ate","transfer_composite","poverty_all_q","other",8,"shock",FALSE,4.34678643766661e-06,2.22395356982341e-06,-1.21625591872696e-08,8.70573543452049e-06,0.0532723491815874,108,"crossfit residual-on-residual","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h8_shock_oosexpanding.csv","dml","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.164972436175238
"20260403T181518_dml","dml","ate","transfer_composite","poverty_all_q","other",4,"shock",FALSE,1.83678323995156e-06,3.78132014465693e-07,1.0956444915988e-06,2.57792198830432e-06,4.00394310423719e-06,111,"crossfit residual-on-residual","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h4_shock_oosexpanding.csv","dml","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.000192189269003385
"20260403T181518_dml","dml","ate","transfer_composite","poverty_all_q","other",2,"shock",FALSE,1.99124594949786e-06,5.24227086441069e-07,9.6376086007336e-07,3.01873103892235e-06,0.000239015847611898,112,"crossfit residual-on-residual","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_all_q_h2_shock_oosexpanding.csv","dml","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.00382425356179037
"20260403T181519_lp","lp","ate","transfer_composite","gini_households_q","other",2,"shock",FALSE,5.97112764393164e-09,3.20574048661888e-09,-3.12123709841364e-10,1.22543789977046e-08,0.0666507726029434,112,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_gini_households_q_h2_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.18281354771093
"20260403T181519_lp","lp","ate","transfer_composite","poverty_child_q","other",8,"shock",FALSE,-4.86713346461904e-07,9.2951650593885e-07,-2.30856569810205e-06,1.33513900517824e-06,0.602270664878424,108,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_child_q_h8_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.734209102464373
"20260403T181519_lp","lp","ate","transfer_composite","poverty_child_q","other",4,"shock",FALSE,2.51167331933812e-07,1.2582735120938e-06,-2.21504875177004e-06,2.71738341563767e-06,0.842362247939712,111,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_child_q_h4_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.869535223679703
"20260403T181519_lp","lp","ate","transfer_composite","gini_households_q","other",4,"shock",FALSE,1.07315589513075e-08,3.67495571499202e-09,3.52864574992311e-09,1.79344721526918e-08,0.00470356454783129,111,"hac","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_gini_households_q_h4_shock_oosexpanding.csv","lp","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.0322530140422717
"20260403T181519_dml","dml","ate","transfer_composite","poverty_child_q","other",8,"shock",FALSE,7.22712082008674e-06,3.89663126806779e-06,-4.10276465326132e-07,1.48645181054996e-05,0.0664170268051029,108,"crossfit residual-on-residual","/private/tmp/econark_results_transfer_wealth.nFXCMa/dass-R/poverty_program_shock_diagnostic/design/design_transfer_composite_poverty_child_q_h8_shock_oosexpanding.csv","dml","dass_20260403T221505Z","2026-04-03T22:15:05Z","config_dass_poverty_program_shock_diagnostic","/Users/shanewray/Library/CloudStorage/OneDrive-Personal/Active/hw/1/1proj/code/econark-r/code/dass-R/config_dass_poverty_program_shock_diagnostic.R",0.18281354771093
