"target","candidate","n_windows","candidate_block_size","selected_lag_median","reverse_selected_lag_median","forward_p_median","reverse_p_median","forward_fstat_median","reverse_fstat_median","forward_df1_median","forward_df2_median","forward_sig_share","reverse_sig_share","directionality_gap","coint_rank_share","vecm_regime_share"
"gini_households_q","bottom50_wealth_share",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","cc_delinquency",7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","fed_funds",7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","fhfa_hpi",27,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","median_real_income_fred_q",28,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","nonrevolving_credit",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","snap_persons",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","top10_wealth_share",4,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","top1_wealth_share",13,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","transfers_total",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","ui_benefits",21,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","wealth_share_gap_top10_bottom50",9,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_households_q","wealth_share_gap_top1_bottom50",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","bottom50_wealth_share",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","cc_delinquency",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","fed_funds",18,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","fhfa_hpi",27,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","median_real_income_fred_q",29,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","nonrevolving_credit",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"gini_income_fred_q","snap_persons",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
