"estimator","runs","estimable_rows","skip_rows","se_nonfinite_rows","ci_inversion_rows","p_out_of_range_rows","n_nonpositive_rows","low_n_rows","warning_rows","quality_pass"
"dml",108,108,0,0,0,0,0,0,0,TRUE
"lp",108,108,0,0,0,0,0,0,0,TRUE
