"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"pce_discretionary_idx","least",1,"gini_income_fred_q",NA,0,0,5,FALSE
"pce_discretionary_idx","least",2,"top10_wealth_share",NA,0,0,6,FALSE
"pce_discretionary_idx","least",3,"transfer_composite",NA,0,0,2,FALSE
"pce_discretionary_idx","least",4,"fhfa_hpi",NA,0,0,5,FALSE
"pce_discretionary_idx","least",5,"wealth_share_gap_top10_bottom50",NA,0,0,6,FALSE
"pce_discretionary_idx","least",6,"snap_persons",NA,0,0,5,FALSE
"pce_discretionary_idx","least",7,"fed_funds",NA,0,0,7,FALSE
"pce_discretionary_idx","least",8,"ui_benefits",NA,0,0,1,FALSE
"pce_discretionary_idx","least",9,"wealth_share_gap_top1_bottom50",NA,0,0,2,FALSE
"pce_discretionary_idx","least",10,"cc_delinquency",NA,0,0,3,FALSE
"pce_discretionary_idx","least",11,"poverty_all_q",NA,0,0,6,FALSE
"pce_discretionary_idx","least",12,"poverty_child_q",NA,0,0,7,FALSE
"pce_discretionary_idx","least",13,"social_security",NA,0,0,1,FALSE
"pce_discretionary_idx","least",14,"gini_households_q",NA,0,0,3,FALSE
"pce_discretionary_idx","least",15,"bottom50_wealth_share",NA,0,0,4,FALSE
"pce_discretionary_idx","negative",1,"gini_income_fred_q",0,0,0,5,FALSE
"pce_discretionary_idx","negative",2,"top10_wealth_share",0,0,0,6,FALSE
"pce_discretionary_idx","negative",3,"transfer_composite",0,0,0,2,FALSE
"pce_discretionary_idx","negative",4,"fhfa_hpi",0,0,0,5,FALSE
"pce_discretionary_idx","negative",5,"wealth_share_gap_top10_bottom50",0,0,0,6,FALSE
"pce_discretionary_idx","negative",6,"snap_persons",0,0,0,5,FALSE
"pce_discretionary_idx","negative",7,"fed_funds",0,0,0,7,FALSE
"pce_discretionary_idx","negative",8,"ui_benefits",0,0,0,1,FALSE
"pce_discretionary_idx","negative",9,"wealth_share_gap_top1_bottom50",0,0,0,2,FALSE
"pce_discretionary_idx","negative",10,"cc_delinquency",0,0,0,3,FALSE
"pce_discretionary_idx","negative",11,"poverty_all_q",0,0,0,6,FALSE
"pce_discretionary_idx","negative",12,"poverty_child_q",0,0,0,7,FALSE
"pce_discretionary_idx","negative",13,"social_security",0,0,0,1,FALSE
"pce_discretionary_idx","negative",14,"gini_households_q",0,0,0,3,FALSE
"pce_discretionary_idx","negative",15,"bottom50_wealth_share",0,0,0,4,FALSE
"pce_discretionary_idx","positive",1,"gini_income_fred_q",0,0,0,5,TRUE
"pce_discretionary_idx","positive",2,"top10_wealth_share",0,0,0,6,TRUE
"pce_discretionary_idx","positive",3,"transfer_composite",0,0,0,2,TRUE
"pce_discretionary_idx","positive",4,"fhfa_hpi",0,0,0,5,TRUE
"pce_discretionary_idx","positive",5,"wealth_share_gap_top10_bottom50",0,0,0,6,TRUE
"pce_discretionary_idx","positive",6,"snap_persons",0,0,0,5,FALSE
"pce_discretionary_idx","positive",7,"fed_funds",0,0,0,7,FALSE
"pce_discretionary_idx","positive",8,"ui_benefits",0,0,0,1,FALSE
"pce_discretionary_idx","positive",9,"wealth_share_gap_top1_bottom50",0,0,0,2,FALSE
"pce_discretionary_idx","positive",10,"cc_delinquency",0,0,0,3,FALSE
"pce_discretionary_idx","positive",11,"poverty_all_q",0,0,0,6,FALSE
"pce_discretionary_idx","positive",12,"poverty_child_q",0,0,0,7,FALSE
"pce_discretionary_idx","positive",13,"social_security",0,0,0,1,FALSE
"pce_discretionary_idx","positive",14,"gini_households_q",0,0,0,3,FALSE
"pce_discretionary_idx","positive",15,"bottom50_wealth_share",0,0,0,4,FALSE
"pce_essential_idx","least",1,"ui_benefits",NA,0,0,16,FALSE
"pce_essential_idx","least",2,"transfer_composite",NA,0,0,13,FALSE
"pce_essential_idx","least",3,"transfers_total",NA,0,0,11,FALSE
"pce_essential_idx","least",4,"wealth_share_gap_top1_bottom50",NA,0,0,10,FALSE
"pce_essential_idx","least",5,"top1_wealth_share",NA,0,0,11,FALSE
"pce_essential_idx","least",6,"poverty_all_q",NA,0,0,11,FALSE
"pce_essential_idx","least",7,"bottom50_wealth_share",NA,0,0,1,FALSE
"pce_essential_idx","least",8,"credit_composite",NA,0,0,3,FALSE
"pce_essential_idx","least",9,"revolving_credit",NA,0,0,3,FALSE
"pce_essential_idx","least",10,"fhfa_hpi",NA,0,0,5,FALSE
"pce_essential_idx","least",11,"gini_income_fred_q",NA,0,0,35,FALSE
"pce_essential_idx","least",12,"social_security",NA,0,0,11,FALSE
"pce_essential_idx","least",13,"poverty_child_q",NA,0,0,10,FALSE
"pce_essential_idx","least",14,"median_real_income_fred_q",NA,0,0,16,FALSE
"pce_essential_idx","least",15,"gini_households_q",NA,0,0,26,FALSE
"pce_essential_idx","least",16,"equity_wealth_proxy",NA,0,0,5,FALSE
"pce_essential_idx","least",17,"fed_funds",NA,0,0,4,FALSE
