"treatment","outcome","negative_control_candidate","horizon","beta","p_value","score","source"
"fed_funds","median_real_income_fred_q","wealth_share_gap_top10_bottom50",2,-0.0755911542263267,0.688760420621688,0.613169266395361,"outcome_irf_cross_outcome_screen"
"fed_funds","median_real_income_fred_q","wealth_share_gap_top1_bottom50",4,-0.00640552969652869,0.984633265507187,0.978227735810658,"outcome_irf_cross_outcome_screen"
"fed_funds","median_real_income_fred_q","wealth_share_gap_top10_bottom50",4,-0.0326555836263564,0.905834852575266,0.87317926894891,"outcome_irf_cross_outcome_screen"
"fed_funds","median_real_income_fred_q","wealth_share_gap_top10_bottom50",8,-0.126129036671537,0.750735502783497,0.62460646611196,"outcome_irf_cross_outcome_screen"
"fed_funds","median_real_income_fred_q","wealth_share_gap_top1_bottom50",8,-0.235673085869741,0.632626541620097,0.396953455750356,"outcome_irf_cross_outcome_screen"
"home_equity","wealth_share_gap_top1_bottom50","wealth_share_gap_top10_bottom50",4,-1.32171329519278e-10,0.402913086066095,0.402913085933924,"outcome_irf_cross_outcome_screen"
"home_equity","wealth_share_gap_top1_bottom50","wealth_share_gap_top10_bottom50",8,1.60718720759335e-10,0.664135221899033,0.664135221738314,"outcome_irf_cross_outcome_screen"
"home_equity","wealth_share_gap_top10_bottom50","wealth_share_gap_top1_bottom50",2,-5.87682753170378e-11,0.788369082088936,0.788369082030168,"outcome_irf_cross_outcome_screen"
"home_equity","wealth_share_gap_top10_bottom50","wealth_share_gap_top1_bottom50",4,-1.13042942042003e-10,0.570396747491653,0.57039674737861,"outcome_irf_cross_outcome_screen"
"home_equity","wealth_share_gap_top10_bottom50","wealth_share_gap_top1_bottom50",8,4.11753419139721e-11,0.874714744780199,0.874714744739024,"outcome_irf_cross_outcome_screen"
"household_networth","gini_households_q","wealth_share_gap_top1_bottom50",8,2.88471385413517e-11,0.44607516126129,0.446075161232443,"outcome_irf_cross_outcome_screen"
"transfer_composite","wealth_share_gap_top10_bottom50","wealth_share_gap_top1_bottom50",8,3.27335125568861e-08,0.972385703436079,0.972385670702566,"outcome_irf_cross_outcome_screen"
"transfer_composite","median_real_income_fred_q","wealth_share_gap_top10_bottom50",2,-4.68882653870249e-07,0.622861317365694,0.62286084848304,"outcome_irf_cross_outcome_screen"
"transfer_composite","median_real_income_fred_q","wealth_share_gap_top10_bottom50",4,-9.27175310489576e-07,0.397042712647913,0.397041785472603,"outcome_irf_cross_outcome_screen"
"transfer_composite","median_real_income_fred_q","wealth_share_gap_top1_bottom50",8,3.27335125568861e-08,0.972385703436079,0.972385670702566,"outcome_irf_cross_outcome_screen"
"transfer_composite","wealth_share_gap_top1_bottom50","wealth_share_gap_top10_bottom50",2,-4.68882653870249e-07,0.622861317365694,0.62286084848304,"outcome_irf_cross_outcome_screen"
"transfer_composite","wealth_share_gap_top1_bottom50","wealth_share_gap_top10_bottom50",4,-9.27175310489576e-07,0.397042712647913,0.397041785472603,"outcome_irf_cross_outcome_screen"
