"treatment","instrument_candidate","horizon","beta","se","p_value","score","source"
"home_equity","F1",2,1.45175669993385e-10,8.02707229713695e-11,0.0727760529229738,0.0145175669993385,"factor_irf_screen"
"home_equity","F1",8,3.2567832248462e-10,1.84151850439102e-10,0.0793729769835364,0.032567832248462,"factor_irf_screen"
"household_networth","F1",4,6.44299814766655e-11,2.50326476530102e-11,0.0111700409248568,0.00644299814766655,"factor_irf_screen"
"household_networth","F1",2,3.12836650153981e-11,1.60645575200197e-11,0.053597194204682,0.00312836650153981,"factor_irf_screen"
"revolving_credit","F1",4,-3.71001193007449e-09,1.90722109377697e-09,0.0538875281461064,0.371001193007449,"factor_irf_screen"
"snap_persons","F1",4,1.42420429412874e-05,8.5640162774163e-06,0.0987012043833733,1.66300979352927,"factor_irf_screen"
"social_security","F2",2,-9.30928611772386e-05,4.60421631515727e-05,0.0451920812234543,2.02190459363894,"factor_irf_screen"
"transfer_composite","F1",4,1.15342297398651e-06,2.33516480402883e-07,2.34522467785092e-06,4.93936433093084,"factor_irf_screen"
"ui_benefits","F1",4,1.27690894372588e-05,3.39223684609503e-06,0.000251182530701142,3.76420928625839,"factor_irf_screen"
