"feature","F1","F2"
"m__pce_essential_idx__lag001",0.218920131377604,-0.0177886639801954
"m__pce_discretionary_idx__lag001",0.141694862988789,-0.276700324588499
"m__pce_fcsu_idx__lag001",0.218836877295174,-0.0203227302385594
"q__pce_essential_cex_idx__lag001",0.163671780616839,-0.136378136045462
"q__pce_discretionary_cex_idx__lag001",0.127864453617834,-0.28106120087377
"m__fed_funds__lag001",-0.0958409454717383,-0.321459309111161
"m__transfers_total__lag001",0.213175331633939,-0.0226115375862595
"m__social_security__lag001",0.21721681314077,-0.0244421332295853
"m__ui_benefits__lag001",0.0507259609474524,0.0462315228903373
"m__snap_persons__lag001",0.177472133873981,0.203446666278149
"m__household_networth__lag001",0.216291607474254,-0.0716171694285264
"m__equity_wealth_proxy__lag001",0.20443258338484,-0.137039365753641
"m__home_equity__lag001",0.21098511166688,-0.0947682417444647
"m__fhfa_hpi__lag001",0.210342742775377,-0.100359238262793
"m__total_credit__lag001",0.21964383178936,0.00159020312077348
"m__nonrevolving_credit__lag001",0.218297957235378,-0.00354391948607403
"m__revolving_credit__lag001",0.206767611811251,0.0195778803034027
"m__cc_delinquency__lag001",-0.148997943803308,-0.0524921325680015
"m__recession_nber__lag001",-0.024985729279099,0.00562440129592801
"q__top1_wealth_share__lag001",0.196258356848583,0.0947589553705586
"q__top10_wealth_share__lag001",0.105783623627553,0.33986341144966
"q__bottom50_wealth_share__lag001",-0.122188461711705,-0.352206633301903
"m__transfer_composite__lag001",0.212996549962416,-0.0211287335093235
"m__credit_composite__lag001",0.206995255371585,0.0194298094725313
"q__wealth_share_gap_top10_bottom50__lag001",0.114751449897665,0.352988049049596
"q__wealth_share_gap_top1_bottom50__lag001",0.187466257671522,0.187689595069067
"q__gini_households_q__lag001",0.201230522999085,0.0847650663568858
"q__median_hh_income_q__lag001",0.218525846526213,-0.0496094100917285
"q__poverty_all_q__lag001",-0.0484643905428612,0.331223124403065
"q__poverty_child_q__lag001",-0.115245068133501,0.272534389895739
"q__gini_income_fred_q__lag001",0.148145748971523,0.101139146680069
"q__median_real_income_fred_q__lag001",0.198218690540213,-0.133963687278713
