"column","freq","base_series","missing_share","std"
"m__pce_essential_idx__lag001","m","pce_essential_idx",0,101857.852071694
"m__pce_discretionary_idx__lag001","m","pce_discretionary_idx",0.3125,28908.548176393
"m__pce_fcsu_idx__lag001","m","pce_fcsu_idx",0,126823.39852162
"q__pce_essential_cex_idx__lag001","q","pce_essential_cex_idx",0.284722222222222,83422.6624832097
"q__pce_discretionary_cex_idx__lag001","q","pce_discretionary_cex_idx",0.3125,5978.30110730162
"m__fed_funds__lag001","m","fed_funds",0,2.38523219607156
"m__transfers_total__lag001","m","transfers_total",0,318443.516042148
"m__social_security__lag001","m","social_security",0,29281.6931459977
"m__ui_benefits__lag001","m","ui_benefits",0,10754.3622428227
"m__snap_persons__lag001","m","snap_persons",0,101727.824173664
"m__household_networth__lag001","m","household_networth",0,42127030866.7437
"m__equity_wealth_proxy__lag001","m","equity_wealth_proxy",0,14321168.1016256
"m__home_equity__lag001","m","home_equity",0,11299496563.4483
"m__fhfa_hpi__lag001","m","fhfa_hpi",0,141.346588007066
"m__total_credit__lag001","m","total_credit",0,1309666.4349745
"m__nonrevolving_credit__lag001","m","nonrevolving_credit",0,1038863.95899093
"m__revolving_credit__lag001","m","revolving_credit",0,294428482.698955
"m__cc_delinquency__lag001","m","cc_delinquency",0.0347222222222222,1.18880120967709
"m__recession_nber__lag001","m","recession_nber",0,0.277350098112615
"q__top1_wealth_share__lag001","q","top1_wealth_share",0,2.39959163516212
"q__top10_wealth_share__lag001","q","top10_wealth_share",0,1.73736070025692
"q__bottom50_wealth_share__lag001","q","bottom50_wealth_share",0,1.06197156519542
"m__transfer_composite__lag001","m","transfer_composite",0,351133.873200498
"m__credit_composite__lag001","m","credit_composite",0,296589968.407256
"q__wealth_share_gap_top10_bottom50__lag001","q","wealth_share_gap_top10_bottom50",0,2.7323836224614
"q__wealth_share_gap_top1_bottom50__lag001","q","wealth_share_gap_top1_bottom50",0,3.20431308982477
"q__gini_households_q__lag001","q","gini_households_q",0,0.0171233983911007
"q__median_hh_income_q__lag001","q","median_hh_income_q",0,15131.1263273258
"q__poverty_all_q__lag001","q","poverty_all_q",0,1.29062931975774
"q__poverty_child_q__lag001","q","poverty_child_q",0,2.36214888912535
"q__gini_income_fred_q__lag001","q","gini_income_fred_q",0,1.01216655117151
"q__median_real_income_fred_q__lag001","q","median_real_income_fred_q",0,6113.28160988246
