"treatment","instrument_candidate","first_stage_strength_check","exclusion_check","timing_check","status"
"home_equity","F1","pending","pending","pending","screened"
"home_equity","F1","pending","pending","pending","screened"
"household_networth","F1","pending","pending","pending","screened"
"household_networth","F1","pending","pending","pending","screened"
"revolving_credit","F1","pending","pending","pending","screened"
"snap_persons","F1","pending","pending","pending","screened"
"social_security","F2","pending","pending","pending","screened"
"transfer_composite","F1","pending","pending","pending","screened"
"ui_benefits","F1","pending","pending","pending","screened"
