"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"gini_income_fred_q","positive",10,"bottom50_wealth_share",0,0,0,3,FALSE
"gini_income_fred_q","positive",11,"top1_wealth_share",0,0,0,8,FALSE
"gini_income_fred_q","positive",12,"cc_delinquency",0,0,0,10,FALSE
"median_hh_income_q","least",1,"median_real_income_fred_q",NA,0,0,8,FALSE
"median_hh_income_q","least",2,"nonrevolving_credit",NA,0,0,11,FALSE
"median_hh_income_q","least",3,"bottom50_wealth_share",NA,0,0,1,FALSE
"median_hh_income_q","least",4,"ui_benefits",NA,0,0,2,FALSE
"median_hh_income_q","least",5,"equity_wealth_proxy",NA,0,0,2,FALSE
"median_hh_income_q","least",6,"snap_persons",NA,0,0,11,FALSE
"median_hh_income_q","least",7,"total_credit",NA,0,0,6,FALSE
"median_hh_income_q","least",8,"wealth_share_gap_top10_bottom50",NA,0,0,3,FALSE
"median_hh_income_q","least",9,"fhfa_hpi",NA,0,0,18,FALSE
"median_hh_income_q","least",10,"transfer_composite",NA,0,0,8,FALSE
"median_hh_income_q","least",11,"transfers_total",NA,0,0,8,FALSE
"median_hh_income_q","least",12,"top10_wealth_share",NA,0,0,3,FALSE
"median_hh_income_q","least",13,"fed_funds",NA,0,0,3,FALSE
"median_hh_income_q","least",14,"cc_delinquency",NA,0,0,1,FALSE
"median_hh_income_q","negative",1,"median_real_income_fred_q",0,0,0,8,FALSE
"median_hh_income_q","negative",2,"nonrevolving_credit",0,0,0,11,FALSE
"median_hh_income_q","negative",3,"bottom50_wealth_share",0,0,0,1,FALSE
"median_hh_income_q","negative",4,"ui_benefits",0,0,0,2,FALSE
"median_hh_income_q","negative",5,"equity_wealth_proxy",0,0,0,2,FALSE
"median_hh_income_q","negative",6,"snap_persons",0,0,0,11,FALSE
"median_hh_income_q","negative",7,"total_credit",0,0,0,6,FALSE
"median_hh_income_q","negative",8,"wealth_share_gap_top10_bottom50",0,0,0,3,FALSE
"median_hh_income_q","negative",9,"fhfa_hpi",0,0,0,18,FALSE
"median_hh_income_q","negative",10,"transfer_composite",0,0,0,8,FALSE
