"quarter_end","F1","F2"
"1990-03-31",-6.80005129915368,-0.978806702550768
"1990-06-30",-6.84034986621713,-1.07092910059761
"1990-09-30",-6.78993834421391,-1.03216363669431
"1990-12-31",-6.95739563834938,-1.15148433230956
"1991-03-31",-6.87128210243423,-1.03808739120772
"1991-06-30",-6.88398210891806,-0.880457776463315
"1991-09-30",-6.82559145229805,-0.914734915236312
"1991-12-31",-6.836483367074,-0.994172353446634
"1992-03-31",-6.71629779721235,-0.871516550378899
"1992-06-30",-6.67786226242828,-0.874911969013617
"1992-09-30",-6.59698060334089,-0.826696272423447
"1992-12-31",-6.51195935999239,-0.882841976757955
"1993-03-31",-6.18595742631728,-0.681470607675804
"1993-06-30",-5.90657031154272,-0.15121890128764
"1993-09-30",-5.75348061180351,0.0531407461917015
"1993-12-31",-5.54248739729259,0.0369482993821273
"1994-03-31",-5.35410443925479,-0.0406797318700817
"1994-06-30",-5.25114081330009,-0.00712863749249322
"1994-09-30",-5.23464850207374,-0.159703732826089
"1994-12-31",-5.25493751872991,-0.385253609960943
"1995-03-31",-5.23222010620783,-0.548660131177147
"1995-06-30",-5.08375965353975,-0.870392834812347
"1995-09-30",-4.99790082363021,-1.27563635336373
"1995-12-31",-4.86042434596274,-1.52218104584454
"1996-03-31",-4.73504702905494,-1.4548532226204
"1996-06-30",-4.57717743882088,-1.25247000445955
"1996-09-30",-4.53455688305313,-1.17416769728889
"1996-12-31",-4.50763316164695,-1.14781449932483
"1997-03-31",-4.38700239993251,-1.11484733671468
"1997-06-30",-4.36000639713972,-1.21187395263176
"1997-09-30",-4.21156611582686,-1.2509917472224
"1997-12-31",-4.12415316927954,-1.35503698389104
"1998-03-31",-4.02906224153005,-1.34338635407075
"1998-06-30",-3.93193033265315,-1.40661669466569
"1998-09-30",-3.8562825953686,-1.46817031939938
"1998-12-31",-3.98140914704165,-1.81088345129583
"1999-03-31",-3.67525024487666,-1.61170076175115
"1999-06-30",-3.60209773990941,-1.80362939536018
"1999-09-30",-3.39013046499247,-1.76793226424524
"1999-12-31",-3.41874818035754,-2.07277146515146
"2000-03-31",-3.1846886960873,-2.02655327969601
"2000-06-30",-3.34474781257577,-1.97086981918476
"2000-09-30",-3.35472749031773,-2.1570546258721
"2000-12-31",-3.28055650137401,-2.21035960013054
"2001-03-31",-3.27709468818547,-2.2049863090035
"2001-06-30",-3.36284671154216,-1.81796103858267
"2001-09-30",-3.27667643655263,-1.5334681287809
"2001-12-31",-3.47371690126861,-1.12268953646975
"2002-03-31",-3.17629794978399,-0.779333657534272
"2002-06-30",-3.22394594994915,-0.660910131559301
"2002-09-30",-3.21442810900169,-0.547453609196769
"2002-12-31",-3.31669174684072,-0.566192936438588
"2003-03-31",-3.15119049549236,-0.433304171067843
"2003-06-30",-3.02472040246926,-0.273147977737998
"2003-09-30",-2.70490986049759,-0.0226642133914002
"2003-12-31",-2.6148807746581,0.161788433360284
"2004-03-31",-2.47754475527662,0.204807195682018
"2004-06-30",-2.20457489850619,0.0944666896303844
"2004-09-30",-2.1828076026311,0.0374420478773585
"2004-12-31",-1.98042827709223,-0.0910540102744467
"2005-03-31",-1.77496260896462,-0.168142166573024
"2005-06-30",-1.64165802821958,-0.0673469090401437
"2005-09-30",-1.2608330064356,-0.228247639258036
"2005-12-31",-1.13230443436433,-0.375152138170463
"2006-03-31",-1.00851152917119,-0.329453220733319
"2006-06-30",-0.64075605403781,-0.443742894522052
