"treatment","outcome","horizon","coef_expansion","coef_recession","coef_recession_gap","se_expansion","se_recession","se_recession_gap","p_expansion","p_recession","p_recession_gap","q_recession_gap","n_obs","state_source","provenance_run_id","provenance_run_timestamp_utc","provenance_config_id","provenance_config_path","provenance_stage_id"
"ui_benefits","poverty_all_q",2,4.65897665107285e-06,5.6943047957557e-06,1.03532814468285e-06,2.9549761173862e-06,2.9549761173862e-06,3.25047372912482e-06,0.0862118471278344,0.0780011950204216,0.0182106521074128,0.0262233390346745,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_all_q",4,8.86129192747408e-06,1.08304679113572e-05,1.96917598388313e-06,4.62959187393614e-06,4.62959187393614e-06,5.09255106132975e-06,0.0370835884523246,0.0335518181235318,0.0135317703287928,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_all_q",8,6.40438261546432e-06,7.82757875223417e-06,1.42319613676985e-06,8.29735028238968e-06,8.29735028238968e-06,9.12708531062865e-06,0.412353276446172,0.373081535832251,0.0492717406139212,0.0572187955516505,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",2,6.47279465369052e-06,7.91119346562175e-06,1.43839881193123e-06,5.12231642744471e-06,5.12231642744471e-06,5.63454807018918e-06,0.170766159943093,0.154502716138989,0.0262634438041041,0.033767284890991,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",4,1.17898327581139e-05,1.44097955932503e-05,2.61996283513643e-06,8.60803822841443e-06,8.60803822841443e-06,9.46884205125588e-06,0.136989772172528,0.123943127203716,0.0230466449688122,0.0317312138300276,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",8,6.28143708569013e-06,7.67731199362127e-06,1.39587490793114e-06,1.3343377507201e-05,1.3343377507201e-05,1.46777152579211e-05,0.631936767278604,0.571752313252071,0.0701844540265337,0.0741434243178299,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",2,4.88628359450141e-08,5.9721243932795e-08,1.08584079877809e-08,2.2819316368489e-08,2.2819316368489e-08,2.5101248005338e-08,0.0197089138269243,0.0178318744148362,0.011877039412088,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",4,7.8054179058617e-08,9.53995521827541e-08,1.73453731241371e-08,3.90735992662137e-08,3.90735992662137e-08,4.29809591928351e-08,0.0295759992229343,0.0267592373921787,0.0128167618307557,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",8,-1.5247504069278e-08,-1.86358383068953e-08,-3.38833423761733e-09,4.81499000259653e-08,4.81499000259653e-08,5.29648900285619e-08,0.761808478627776,0.689255290187036,0.0825531884407407,0.0825531884407407,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",2,0.00536560694732664,0.00655796404673256,0.00119235709940592,0.0111427911869613,0.0111427911869613,0.0122570703056575,0.623194881214672,0.563842987765655,0.0693518934490165,0.0741434243178299,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",4,-0.000309332595153297,-0.000378073171854029,-6.87405767007326e-05,0.0221378932848884,0.0221378932848884,0.0243516826133772,1,0.938254698365732,0.0717453016342675,0.0741434243178299,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",8,-0.0281214736923517,-0.0343706900684298,-0.00624921637607815,0.0358502091368259,0.0358502091368259,0.0394352300505085,0.404340208688026,0.365831617384405,0.0485085913036216,0.0572187955516505,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_all_q",2,1.13527237737138e-06,1.38755512789835e-06,2.52282750526973e-07,1.99232512927992e-07,1.99232512927992e-07,2.19155764220792e-07,3.62753259668595e-09,3.28205330176347e-09,0.0100000003454793,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_all_q",4,1.92098343292293e-06,2.34786864023914e-06,4.26885207316207e-07,3.23914391165936e-07,3.23914391165936e-07,3.56305830282529e-07,1.02986036547747e-09,9.31778425908184e-10,0.0100000000980819,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
