"treatment_col","treatment","selected_controls_count","controls_total","residual_variance","fit_r2","convergence_warning_count","convergence_warning_flag","fallback_used","attempts_tried","selected_l1_ratio","selected_cv","selected_max_iter","selected_w_max","model","quality_pass","min_r2_threshold","max_convergence_warnings_threshold","provenance_run_id","provenance_run_timestamp_utc","provenance_config_id","provenance_config_path","provenance_stage_id"
"qend__ui_benefits","ui_benefits",33,33,61741201.8455613,0.575075470445326,0,FALSE,FALSE,1,0.9,3,20000,120,"elasticnet_cv",TRUE,-0.05,3,"dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"qend__transfers_total","transfers_total",33,33,6758739763.47707,0,0,FALSE,FALSE,1,0.9,3,20000,120,"elasticnet_cv",TRUE,-0.05,3,"dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"qend__transfer_composite_fp","transfer_composite_fp",33,33,226908812.689947,0.30617425115136,0,FALSE,FALSE,1,0.9,3,20000,120,"elasticnet_cv",TRUE,-0.05,3,"dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
