"target","mode","rank","candidate","score","sig_share","coint_share","n_windows"
"gini_households_q","positive",1,"wealth_share_gap_top1_bottom50",0,0,0,10
"gini_households_q","positive",2,"median_real_income_fred_q",0,0,0,28
"gini_households_q","positive",3,"ui_benefits",0,0,0,21
"gini_households_q","positive",4,"transfers_total",0,0,0,1
"gini_households_q","positive",5,"nonrevolving_credit",0,0,0,3
"gini_income_fred_q","positive",1,"ui_benefits",0,0,0,28
"gini_income_fred_q","positive",2,"snap_persons",0,0,0,5
"gini_income_fred_q","positive",3,"nonrevolving_credit",0,0,0,3
"gini_income_fred_q","positive",4,"wealth_share_gap_top10_bottom50",0,0,0,12
"gini_income_fred_q","positive",5,"top10_wealth_share",0,0,0,20
"median_hh_income_q","positive",1,"median_real_income_fred_q",0,0,0,8
"median_hh_income_q","positive",2,"nonrevolving_credit",0,0,0,11
"median_hh_income_q","positive",3,"bottom50_wealth_share",0,0,0,1
"median_hh_income_q","positive",4,"ui_benefits",0,0,0,2
"median_hh_income_q","positive",5,"equity_wealth_proxy",0,0,0,2
"median_real_income_fred_q","positive",1,"fed_funds",0,0,0,7
"median_real_income_fred_q","positive",2,"top1_wealth_share",0,0,0,1
"median_real_income_fred_q","positive",3,"top10_wealth_share",0,0,0,6
"median_real_income_fred_q","positive",4,"wealth_share_gap_top10_bottom50",0,0,0,7
"median_real_income_fred_q","positive",5,"bottom50_wealth_share",0,0,0,6
"poverty_all_q","positive",1,"transfer_composite",0,0,0,2
"poverty_all_q","positive",2,"ui_benefits",0,0,0,1
"poverty_all_q","positive",3,"transfers_total",0,0,0,2
"poverty_all_q","positive",4,"median_real_income_fred_q",0,0,0,30
"poverty_all_q","positive",5,"wealth_share_gap_top10_bottom50",0,0,0,9
"poverty_child_q","positive",1,"median_real_income_fred_q",0,0,0,34
"poverty_child_q","positive",2,"transfers_total",0,0,0,3
"poverty_child_q","positive",3,"wealth_share_gap_top1_bottom50",0,0,0,3
"poverty_child_q","positive",4,"wealth_share_gap_top10_bottom50",0,0,0,7
"poverty_child_q","positive",5,"nonrevolving_credit",0,0,0,6
"wealth_share_gap_top10_bottom50","positive",1,"total_credit",0,0,0,2
"wealth_share_gap_top10_bottom50","positive",2,"ui_benefits",0,0,0,4
"wealth_share_gap_top10_bottom50","positive",3,"fhfa_hpi",0,0,0,11
"wealth_share_gap_top10_bottom50","positive",4,"credit_composite",0,0,0,2
"wealth_share_gap_top10_bottom50","positive",5,"revolving_credit",0,0,0,2
"wealth_share_gap_top1_bottom50","positive",1,"equity_wealth_proxy",0,0,0,3
"wealth_share_gap_top1_bottom50","positive",2,"cc_delinquency",0,0,0,3
"wealth_share_gap_top1_bottom50","positive",3,"ui_benefits",0,0,0,3
"wealth_share_gap_top1_bottom50","positive",4,"fed_funds",0,0,0,8
"wealth_share_gap_top1_bottom50","positive",5,"top10_wealth_share",0,0,0,1
