"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"pce_discretionary_idx","least",1,"transfer_composite",NA,0,0,3,FALSE
"pce_discretionary_idx","least",2,"fhfa_hpi",NA,0,0,6,FALSE
"pce_discretionary_idx","least",3,"ui_benefits",NA,0,0,3,FALSE
"pce_discretionary_idx","least",4,"social_security",NA,0,0,3,FALSE
"pce_discretionary_idx","negative",1,"transfer_composite",0,0,0,3,FALSE
"pce_discretionary_idx","negative",2,"fhfa_hpi",0,0,0,6,FALSE
"pce_discretionary_idx","negative",3,"ui_benefits",0,0,0,3,FALSE
"pce_discretionary_idx","negative",4,"social_security",0,0,0,3,FALSE
"pce_discretionary_idx","positive",1,"transfer_composite",0,0,0,3,TRUE
"pce_discretionary_idx","positive",2,"fhfa_hpi",0,0,0,6,TRUE
"pce_discretionary_idx","positive",3,"ui_benefits",0,0,0,3,TRUE
"pce_discretionary_idx","positive",4,"social_security",0,0,0,3,TRUE
"pce_essential_idx","least",1,"ui_benefits",NA,0,0,42,FALSE
"pce_essential_idx","least",2,"transfer_composite",NA,0,0,15,FALSE
"pce_essential_idx","least",3,"transfers_total",NA,0,0,18,FALSE
"pce_essential_idx","least",4,"equity_wealth_proxy",NA,0,0,3,FALSE
"pce_essential_idx","least",5,"credit_composite",NA,0,0,6,FALSE
"pce_essential_idx","least",6,"revolving_credit",NA,0,0,6,FALSE
"pce_essential_idx","least",7,"fhfa_hpi",NA,0,0,11,FALSE
"pce_essential_idx","least",8,"social_security",NA,0,0,27,FALSE
"pce_essential_idx","least",9,"fed_funds",NA,0,0,9,FALSE
"pce_essential_idx","least",10,"cc_delinquency",NA,0,0,3,FALSE
"pce_essential_idx","negative",1,"ui_benefits",0,0,0,42,FALSE
"pce_essential_idx","negative",2,"transfer_composite",0,0,0,15,FALSE
"pce_essential_idx","negative",3,"transfers_total",0,0,0,18,FALSE
"pce_essential_idx","negative",4,"equity_wealth_proxy",0,0,0,3,FALSE
"pce_essential_idx","negative",5,"credit_composite",0,0,0,6,FALSE
"pce_essential_idx","negative",6,"revolving_credit",0,0,0,6,FALSE
"pce_essential_idx","negative",7,"fhfa_hpi",0,0,0,11,FALSE
"pce_essential_idx","negative",8,"social_security",0,0,0,27,FALSE
"pce_essential_idx","negative",9,"fed_funds",0,0,0,9,FALSE
"pce_essential_idx","negative",10,"cc_delinquency",0,0,0,3,FALSE
"pce_essential_idx","positive",1,"ui_benefits",0,0,0,42,TRUE
"pce_essential_idx","positive",2,"transfer_composite",0,0,0,15,TRUE
"pce_essential_idx","positive",3,"transfers_total",0,0,0,18,TRUE
"pce_essential_idx","positive",4,"equity_wealth_proxy",0,0,0,3,TRUE
"pce_essential_idx","positive",5,"credit_composite",0,0,0,6,TRUE
"pce_essential_idx","positive",6,"revolving_credit",0,0,0,6,FALSE
"pce_essential_idx","positive",7,"fhfa_hpi",0,0,0,11,FALSE
"pce_essential_idx","positive",8,"social_security",0,0,0,27,FALSE
"pce_essential_idx","positive",9,"fed_funds",0,0,0,9,FALSE
"pce_essential_idx","positive",10,"cc_delinquency",0,0,0,3,FALSE
"pce_fcsu_idx","least",1,"ui_benefits",NA,0,0,27,FALSE
"pce_fcsu_idx","least",2,"transfer_composite",NA,0,0,21,FALSE
"pce_fcsu_idx","least",3,"transfers_total",NA,0,0,21,FALSE
"pce_fcsu_idx","least",4,"fhfa_hpi",NA,0,0,6,FALSE
"pce_fcsu_idx","least",5,"cc_delinquency",NA,0,0,3,FALSE
"pce_fcsu_idx","least",6,"social_security",NA,0,0,15,FALSE
"pce_fcsu_idx","least",7,"fed_funds",NA,0,0,6,FALSE
"pce_fcsu_idx","least",8,"equity_wealth_proxy",NA,0,0,18,FALSE
"pce_fcsu_idx","negative",1,"ui_benefits",0,0,0,27,FALSE
"pce_fcsu_idx","negative",2,"transfer_composite",0,0,0,21,FALSE
"pce_fcsu_idx","negative",3,"transfers_total",0,0,0,21,FALSE
"pce_fcsu_idx","negative",4,"fhfa_hpi",0,0,0,6,FALSE
"pce_fcsu_idx","negative",5,"cc_delinquency",0,0,0,3,FALSE
"pce_fcsu_idx","negative",6,"social_security",0,0,0,15,FALSE
"pce_fcsu_idx","negative",7,"fed_funds",0,0,0,6,FALSE
"pce_fcsu_idx","negative",8,"equity_wealth_proxy",0,0,0,18,FALSE
"pce_fcsu_idx","positive",1,"ui_benefits",0,0,0,27,TRUE
"pce_fcsu_idx","positive",2,"transfer_composite",0,0,0,21,TRUE
"pce_fcsu_idx","positive",3,"transfers_total",0,0,0,21,TRUE
"pce_fcsu_idx","positive",4,"fhfa_hpi",0,0,0,6,TRUE
"pce_fcsu_idx","positive",5,"cc_delinquency",0,0,0,3,TRUE
"pce_fcsu_idx","positive",6,"social_security",0,0,0,15,FALSE
"pce_fcsu_idx","positive",7,"fed_funds",0,0,0,6,FALSE
"pce_fcsu_idx","positive",8,"equity_wealth_proxy",0,0,0,18,FALSE
