"quarter_end","F1","F2"
"1990-03-31",-6.62285540022573,-1.04656159277637
"1990-06-30",-6.67744334252569,-1.15453780709416
"1990-09-30",-6.6289809657725,-1.11526767651773
"1990-12-31",-6.81134316645617,-1.24045757024546
"1991-03-31",-6.74632552005934,-1.14129840953096
"1991-06-30",-6.77964006383115,-0.992790382065355
"1991-09-30",-6.73543173696961,-1.05293298321991
"1991-12-31",-6.75998288645172,-1.14782528078598
"1992-03-31",-6.65233433867723,-1.030990030678
"1992-06-30",-6.62659252542309,-1.04504888481718
"1992-09-30",-6.54658249121306,-0.994240008676143
"1992-12-31",-6.46617487409459,-1.05277375944064
"1993-03-31",-6.13913194140471,-0.836159028289606
"1993-06-30",-5.86928631788749,-0.298180239415896
"1993-09-30",-5.71350526549275,-0.084301522534135
"1993-12-31",-5.5040844417361,-0.0971341091279689
"1994-03-31",-5.31168775620773,-0.165553445144762
"1994-06-30",-5.21493658280057,-0.135713577959857
"1994-09-30",-5.19370059817757,-0.289197417997139
"1994-12-31",-5.21283787920881,-0.520413632177093
"1995-03-31",-5.19082041488226,-0.687608100913798
"1995-06-30",-5.04506286350733,-1.00939442296002
"1995-09-30",-4.94503415499932,-1.40372999396418
"1995-12-31",-4.80222245781208,-1.6439468023778
"1996-03-31",-4.67056019153268,-1.56427784936799
"1996-06-30",-4.51851529829353,-1.35777516593928
"1996-09-30",-4.46673989225031,-1.26778218019518
"1996-12-31",-4.43541508596494,-1.2350322590111
"1997-03-31",-4.3065981944753,-1.18887984999839
"1997-06-30",-4.27093601805559,-1.27748585524533
"1997-09-30",-4.11491159188847,-1.30513244114307
"1997-12-31",-4.02629083293326,-1.40682964391545
"1998-03-31",-3.92191862908333,-1.38256053853776
"1998-06-30",-3.81837318635054,-1.43885765818412
"1998-09-30",-3.7275418693563,-1.48505633987145
"1998-12-31",-3.84849199282605,-1.83396396234662
"1999-03-31",-3.53053366404965,-1.6092148793896
"1999-06-30",-3.44916549141206,-1.79422156829177
"1999-09-30",-3.22495097617021,-1.73863643369898
"1999-12-31",-3.24579633912771,-2.04172676369796
"2000-03-31",-3.00160302122989,-1.97778471463524
"2000-06-30",-3.1651278765218,-1.91810398103309
"2000-09-30",-3.1655935524481,-2.09910980127614
"2000-12-31",-3.08647102263494,-2.14663345091331
"2001-03-31",-3.0776513105235,-2.13573212685258
"2001-06-30",-3.17162245745067,-1.74658924206787
"2001-09-30",-3.08234854448859,-1.43608106412513
"2001-12-31",-3.29113955723424,-1.0302293170711
"2002-03-31",-3.00472785095508,-0.697616308734295
"2002-06-30",-3.06494988393898,-0.588335855468963
"2002-09-30",-3.06101141485249,-0.478246364439207
"2002-12-31",-3.17270841273141,-0.508538277311072
"2003-03-31",-3.00561066042286,-0.368278290890828
"2003-06-30",-2.88457448976439,-0.20725188806619
"2003-09-30",-2.56677464647054,0.0538714438067683
"2003-12-31",-2.48564321776441,0.235582808145071
"2004-03-31",-2.35293772500757,0.279006237780061
"2004-06-30",-2.08125898562517,0.169700368591687
"2004-09-30",-2.05973344127156,0.110612211725282
"2004-12-31",-1.85726165043873,-0.017122334693302
"2005-03-31",-1.65106375632205,-0.0917289667395581
"2005-06-30",-1.51961090379336,0.0113206844146746
"2005-09-30",-1.13317379296817,-0.140611605237638
"2005-12-31",-1.00533642652792,-0.287899576342862
"2006-03-31",-0.883199306679503,-0.240146252601184
"2006-06-30",-0.510433026548794,-0.341103806649887
"2006-09-30",-0.496071908458276,-0.406831145131981
"2006-12-31",-0.272088624957136,-0.721171566264025
"2007-03-31",-0.144630993152175,-0.688969764620635
"2007-06-30",0.141965589692785,-0.909178586052713
"2007-09-30",0.178102737613583,-0.751632162273229
"2007-12-31",0.234734656891995,-0.510335656577075
"2008-03-31",0.564707526272944,-0.6033512302563
"2008-06-30",0.568046478801794,-0.151165671836833
"2008-09-30",0.664862255608949,0.0696764464534024
"2008-12-31",0.4548839100626,0.857583612891738
"2009-03-31",0.306982424182502,1.29081948080133
"2009-06-30",-0.0695919599248723,2.16516702431487
"2009-09-30",-0.158747242033906,2.60248444416046
"2009-12-31",0.106041701239421,2.74636979605605
"2010-03-31",0.0572562389546768,3.08869022193625
"2010-06-30",0.128888242102602,3.33306828662925
"2010-09-30",0.039248609333088,3.75886519509763
"2010-12-31",0.296146337043165,3.81162654962995
"2011-03-31",0.449579366757686,4.28520274260106
"2011-06-30",0.773172621571153,4.09631296026837
"2011-09-30",1.00609106396999,3.93192555574785
"2011-12-31",0.757987703285446,4.42039726914553
"2012-03-31",0.731180506022615,4.79299221759616
"2012-06-30",0.842438886156108,4.76020264511489
"2012-09-30",0.922686717767958,4.38882138728488
"2012-12-31",1.09890923406396,4.23973916554614
"2013-03-31",1.21827436427155,3.96006985038125
"2013-06-30",1.44520371277688,3.91152931091125
"2013-09-30",1.55337806231072,3.84288394295691
"2013-12-31",1.7062225580097,3.5730991072402
"2014-03-31",1.98952876947806,3.39012761584645
"2014-06-30",1.99681230662582,3.69736313586577
"2014-09-30",2.13786729715205,3.65198411921165
"2014-12-31",2.27815178721526,3.5576249761552
"2015-03-31",2.47555304348452,3.38956120415169
"2015-06-30",2.66200369035478,3.19225129700317
"2015-09-30",2.73785841180256,3.13509109010689
"2015-12-31",2.7997740124972,3.00789016735729
"2016-03-31",2.86087480380685,2.6251228185566
"2016-06-30",3.0233030541079,2.41632658265224
"2016-09-30",3.17784870356079,2.3495395237849
"2016-12-31",3.17031125314709,2.44876826571683
