"quarter_end","F1","F2"
"1990-03-31",-6.4406813469023,-1.19748006675634
"1990-06-30",-6.49186628998965,-1.30088476902161
"1990-09-30",-6.44539668999208,-1.26281065291711
"1990-12-31",-6.62058054820367,-1.33201291279152
"1991-03-31",-6.55815305088915,-1.23152985794659
"1991-06-30",-6.59370979290119,-1.06855454105482
"1991-09-30",-6.54915123896896,-1.1709111385696
"1991-12-31",-6.57088101523114,-1.25985476477908
"1992-03-31",-6.467441792958,-1.13645278486749
"1992-06-30",-6.44194417406341,-1.14461200089975
"1992-09-30",-6.36591930578326,-1.09901101326393
"1992-12-31",-6.28946677882166,-1.16108163641123
"1993-03-31",-5.97880108379432,-0.964977289383729
"1993-06-30",-5.72178622648715,-0.478407831238047
"1993-09-30",-5.57353370038388,-0.29004704632871
"1993-12-31",-5.37244946695814,-0.308641663800086
"1994-03-31",-5.18885724371136,-0.364010616545159
"1994-06-30",-5.09435900855287,-0.337407844062837
"1994-09-30",-5.07082826054847,-0.485977125474945
"1994-12-31",-5.08610588605619,-0.705445827410692
"1995-03-31",-5.06282460892222,-0.865348267845681
"1995-06-30",-4.9233503012119,-1.15849947595879
"1995-09-30",-4.82792504913946,-1.52066060749392
"1995-12-31",-4.69129497645859,-1.74018715031269
"1996-03-31",-4.56662216732341,-1.65870542733895
"1996-06-30",-4.42180268501353,-1.45863523338791
"1996-09-30",-4.37312993563048,-1.37185965224026
"1996-12-31",-4.3439927937714,-1.34025609567311
"1997-03-31",-4.22176467251131,-1.29177749197965
"1997-06-30",-4.18833069720668,-1.37176690535393
"1997-09-30",-4.03901239152293,-1.39187309000061
"1997-12-31",-3.95347527995368,-1.481007648971
"1998-03-31",-3.85391224751747,-1.44689122861818
"1998-06-30",-3.75341577941886,-1.49129984131356
"1998-09-30",-3.66631989721718,-1.52519982284812
"1998-12-31",-3.78069832943066,-1.85164694389838
"1999-03-31",-3.47832204859698,-1.62077544933342
"1999-06-30",-3.40002203134371,-1.78938756186789
