"feature","F1","F2"
"m__pce_essential_idx__lag001",0.212417602076398,-0.0116207659438243
"m__pce_discretionary_idx__lag001",0.142696455354798,-0.257555698143698
"m__pce_fcsu_idx__lag001",0.212321511032513,-0.0135850633137342
"q__pce_essential_cex_idx__lag001",0.166657295155241,-0.124617996349799
"q__pce_discretionary_cex_idx__lag001",0.128684564649025,-0.256044704220217
"m__pce_essential_v2_idx__lag001",0.160733062085127,-0.134299177003459
"m__pce_discretionary_v2_idx__lag001",0.167032237704098,-0.162707637061374
"m__pce_gap_v2__lag001",0.067908463369652,0.178457261842415
"m__pce_eshare_v2__lag001",0.068275874769886,0.182866196304991
"m__fed_funds__lag001",-0.0888427402091555,-0.319751478174356
"m__transfers_total__lag001",0.208219481184608,-0.00256155999493235
"m__social_security__lag001",0.211666764213342,-0.0188768706356079
"m__ui_benefits__lag001",0.0512729068500372,0.107636234143517
"m__snap_persons__lag001",0.172953762352601,0.188721583794546
"m__household_networth__lag001",0.210584636861346,-0.0616364845113774
"m__equity_wealth_proxy__lag001",0.200167948824971,-0.125694315075544
"m__home_equity__lag001",0.204679906359513,-0.0819638314583156
"m__fhfa_hpi__lag001",0.204268394479555,-0.0875332418476168
"m__total_credit__lag001",0.212269457874909,0.00726590518044899
"m__nonrevolving_credit__lag001",0.211789168396524,0.00183617704458583
"m__revolving_credit__lag001",0.196930846581899,0.0258411609230439
"m__cc_delinquency__lag001",-0.145296829706425,-0.0402937244039033
"m__recession_nber__lag001",-0.0244283574802364,0.0193893821860891
"q__top1_wealth_share__lag001",0.188207331836749,0.0905959302165791
"q__top10_wealth_share__lag001",0.0993860952651706,0.327228920632699
"q__bottom50_wealth_share__lag001",-0.113875579337695,-0.338439681824758
"m__transfer_composite__lag001",0.208056009189386,-0.000600625198852895
"m__credit_composite__lag001",0.197174816760928,0.0256913519124048
"q__wealth_share_gap_top10_bottom50__lag001",0.107452745975692,0.33960384541118
"q__wealth_share_gap_top1_bottom50__lag001",0.178682092020459,0.180009424419464
"q__gini_households_q__lag001",0.191767100764105,0.0859604233297543
"q__median_hh_income_q__lag001",0.211866077037216,-0.0407744709037295
"q__poverty_all_q__lag001",-0.0445660045853734,0.300424724345276
"q__poverty_child_q__lag001",-0.108541502321304,0.242148345008742
"q__gini_income_fred_q__lag001",0.13797393522763,0.0784470754466337
"q__median_real_income_fred_q__lag001",0.191555368876756,-0.116764369134628
