"outcome","factor","beta","share","r2","provenance_run_id","provenance_run_timestamp_utc","provenance_config_id","provenance_config_path","provenance_stage_id"
"qend__pce_essential_v2_idx","F1",32837.8026258104,0.943931855061761,0.985066950334321,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_essential_v2_idx","F2",-1950.51652002649,0.0560681449382388,0.985066950334321,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_discretionary_v2_idx","F1",6816.32437592071,0.777566896824038,0.93184159413446,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_discretionary_v2_idx","F2",-1949.89805942459,0.222433103175961,0.93184159413446,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_gap_v2","F1",0.0121415213656975,0.376948131826738,0.402084708906353,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_gap_v2","F2",0.0200685371027135,0.623051868173262,0.402084708906353,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_eshare_v2","F1",0.00187838541304508,0.376828398052502,0.438506699951035,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
"qend__pce_eshare_v2","F2",0.00310633819789513,0.623171601947498,0.438506699951035,"dflmx_20260403T200715Z_propagate","2026-04-03T20:07:15Z","config_dflmx_poverty_consumption_baseline","econark-r/dflmx-R/config_dflmx_poverty_consumption_baseline.R","propagate"
