"estimator","runs","estimable_rows","skip_rows","se_nonfinite_rows","ci_inversion_rows","p_out_of_range_rows","n_nonpositive_rows","low_n_rows","warning_rows","quality_pass"
"cf",36,36,0,36,0,0,0,0,0,FALSE
"dml",36,36,0,0,0,0,0,0,0,TRUE
"dml_iv",36,0,36,0,0,0,0,0,0,FALSE
"lp",36,36,0,0,0,0,0,0,0,TRUE
"lp_iv",36,0,36,0,0,0,0,0,0,FALSE
"tmle",36,36,0,0,0,0,0,0,0,TRUE
