"design","treatment","outcome","horizon","stat_obs","p_perm","n_perm"
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_transfers_total_poverty_child_q_h8_shock_oosexpanding.csv","transfers_total","poverty_child_q",8,-0.00378910542354033,0.946843853820598,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_gini_households_q_h2_shock_oosexpanding.csv","ui_benefits","gini_households_q",2,-0.0166435693558043,0.850498338870432,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_gini_households_q_h4_shock_oosexpanding.csv","ui_benefits","gini_households_q",4,-0.00238051371225831,0.98671096345515,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_gini_households_q_h8_shock_oosexpanding.csv","ui_benefits","gini_households_q",8,0.0200615654570496,0.79734219269103,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_median_real_income_fred_q_h2_shock_oosexpanding.csv","ui_benefits","median_real_income_fred_q",2,-0.0110081874095344,0.853820598006645,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_median_real_income_fred_q_h4_shock_oosexpanding.csv","ui_benefits","median_real_income_fred_q",4,-0.0128656859464654,0.883720930232558,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_median_real_income_fred_q_h8_shock_oosexpanding.csv","ui_benefits","median_real_income_fred_q",8,-0.0256090343401962,0.74750830564784,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h2_shock_oosexpanding.csv","ui_benefits","poverty_all_q",2,-0.00927040119271081,0.900332225913621,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h4_shock_oosexpanding.csv","ui_benefits","poverty_all_q",4,0.0186724473435118,0.823920265780731,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h8_shock_oosexpanding.csv","ui_benefits","poverty_all_q",8,0.0233922698676606,0.790697674418605,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h2_shock_oosexpanding.csv","ui_benefits","poverty_child_q",2,-0.00433268400327971,0.963455149501661,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h4_shock_oosexpanding.csv","ui_benefits","poverty_child_q",4,0.0242437081576638,0.760797342192691,300
"/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h8_shock_oosexpanding.csv","ui_benefits","poverty_child_q",8,0.0251606876691373,0.770764119601329,300
